,negative,neutral,positive
amypalko,0,0,2.5
amysav,0,0,5
ana,4.507575552,1.430676558,1.430676558
anachronistic,12.62925314,1.285097209,0
anady,0,0,5
analgesic,3.321928095,0,3.321928095
analog,0,14.93723606,1.183294662
analytical,7.5,0,0
analyze,5.678873587,2.095903274,0
anand,0,0,2.5
anandnataraj,0,0,2.5
anaphylaxis,0,2.5,0
anar,0,0,2.5
anarchic,2.095903274,0,5.678873587
anarchy,2.5,0,0
anatomical,2.5,0,0
anc,0,0,2.5
anchis,0,0,2.5
anchor,0,0,5
anchored,1.660964047,1.660964047,3.321928095
anchoring,5,0,0
anchors,2.5,0,0
ancient,2.512941595,1.430676558,2.512941595
anciently,2.5,0,0
ancillary,2.5,0,0
andere,0,0,2.5
andersen,0,0,2.5
anderson,0,2.5,0
anderssaugstrup,0,0,2.5
andileigh,0,0,2.5
andreapetrou,0,0,2.5
andrei,2.5,0,0
andrew,1.53089535,1.047951637,5.678873587
andrewhansen,0,0,2.5
andrewmaier,0,0,2.5
andrewrimmer,0,0,5
andrews,0,0,5
androd,0,2.5,0
android,0.748619488,28.76695654,0.661426685
andy,0,1.430676558,10.31885116
andyace,0,0,2.5
andybirdwell,0,0,2.5
andyclemmensen,0,0,12.5
andysmurf,0,0,2.5
anefallarme,0,0,2.5
anemic,10,0,0
anew,0,0,2.5
ang,3.321928095,0,3.321928095
angel,2.095903274,2.095903274,2.095903274
angela,5,0,0
angelalpev,0,0,2.5
angelawb,0,0,5
angeles,0,0,2.5
angelina,0,0,2.5
angelique,2.5,0,0
angelo,2.5,0,0
anger,5,0,0
angering,2.5,0,0
angiem,0,0,2.5
angle,4.742632391,1.230143399,1.570297268
angled,1.953570044,1.953570044,2.409793315
angling,2.5,0,0
angriest,2.5,0,0
angry,10.31885116,0.604882912,1.333115544
angrycustomer,2.5,0,0
angst,3.321928095,3.321928095,0
anguish,7.5,0,0
anguished,5,0,0
angwaagee,0,0,2.5
aniita,0,0,2.5
anim,2.5,0,0
animal,8.00392278,0,1.660964047
animated,5.484253907,1.695416595,0.937253863
animation,2.5,0,0
animatronic,7.5,0,0
anime,2.095903274,2.095903274,2.095903274
animegan,0,0,2.5
aniversary,0,0,2.5
anjelicaca,0,0,2.5
ankle,2.5,0,0
anmnlutwysdt,0,0,2.5
ann,0,0,5
anna,0,0,2.5
annaraven,0,0,2.5
anne,5.678873587,0,2.095903274
annekaf,0,0,2.5
annepmitchell,0,0,2.5
annie,2.5,0,0
anniemoon,0,0,2.5
anniversary,8.776290848,0,1.570297268
annnnnnnd,0,0,2.5
annou,0,2.5,0
announc,0,2.5,0
announce,8.00392278,1.107309365,1.107309365
announced,2.34759015,1.979610102,1.979610102
announcements,2.5,0,0
announces,0,2.5,0
announcing,1.430676558,1.430676558,4.507575552
annoy,0,3.321928095,3.321928095
annoyed,1.570297268,2.409793315,2.409793315
annoyin,0,0,2.5
annoying,1.832048537,2.797113981,1.790746942
annoyingly,0,2.512941595,4.507575552
annoyng,0,0,2.5
annoys,0,0,2.5
annual,2.095903274,2.095903274,2.095903274
anodized,0,0,2.5
anodyneart,0,0,2.5
anoid,0,2.5,0
anon,0,0,5
anonymous,2.512941595,1.430676558,2.512941595
anot,5.678873587,2.095903274,0
anothe,2.5,0,0
anothersnowday,0,0,2.5
anouther,0,0,2.5
ans,0,0,2.5
anspaugh,0,0,2.5
answ,2.5,0,0
answe,5,0,0
answer,2.963320657,2.450738108,1.211275668
answere,0,2.5,0
answered,5.678873587,1.285097209,1.285097209
answering,9.658047936,1.220190836,0.821366068
answers,26.46303475,0,0.926628408
antartica,0,0,2.5
anteing,2.5,0,0
antenna,0,0,2.5
antheald,0,0,2.5
anthony,2.095903274,2.095903274,2.095903274
anthropologically,0,2.5,0
anthropomorphic,2.5,0,0
anti,4.899079389,0.830482024,1.979610102
antic,2.5,0,0
anticipate,1.660964047,1.660964047,3.321928095
anticipated,1.772196759,5.094382474,0.960252568
anticipating,0,2.5,0
antiquated,0,2.5,0
antique,2.5,0,0
antiseptic,3.321928095,3.321928095,0
antitrust,3.321928095,0,3.321928095
antivirus,0,2.5,0
antonia,3.321928095,0,3.321928095
antonio,3.321928095,0,3.321928095
antsy,2.5,0,0
antwone,2.5,0,0
anuheajams,0,0,2.5
anultimate,0,0,2.5
anwering,0,0,2.5
anxious,3.321928095,1.107309365,2.34759015
anxiously,0,0,2.5
anyam,0,0,2.5
anyhoo,0,0,2.5
anyhow,0,10.31885116,1.430676558
anymore,3.121730467,1.253987043,2.268041283
anyo,2.5,0,0
anyplace,0,0,2.5
anyth,0,0,2.5
anythi,2.5,0,0
anythin,3.321928095,0,3.321928095
anytime,0.79663977,1.53089535,7.075680992
anyway,1.866022373,1.706853886,2.878536649
anyways,0,0,12.5
anywhere,2.960745232,1.265741916,2.369254534
aol,0,2.5,0
aother,0,0,2.5
ap,1.660964047,1.660964047,3.321928095
apa,0,0,2.5
apache,0,0,2.5
apallingly,0,2.5,0
aparajuli,0,0,2.5
aparently,0,0,2.5
apart,3.234697844,1.325082215,2.095903274
apathy,2.5,0,0
ape,2.5,0,0
apeared,2.5,0,0
apetite,0,0,2.5
apis,0,0,2.5
aplenty,5,0,0
aplusk,0,0,5
apogee,0,0,7.5
apolitical,0,2.5,0
apolo,2.5,0,0
apologies,2.5,0,0
apologise,2.5,0,0
apologize,5.678873587,1.285097209,1.285097209
apologizes,2.5,0,0
apologizing,5,0,0
apology,5,0,0
aponderingheart,0,0,2.5
app,1.570297268,2.978033117,1.953570044
appalled,4.507575552,1.430676558,1.430676558
appalling,12.62925314,0,1.285097209
apparent,6.197015431,1.461461094,1.01494327
apparently,3.871796827,1.566197065,1.513395857
