,negative,neutral,positive
afganistan,3.321928095,0,3.321928095
afganskiy,0,0,5
afghan,2.010759005,0,6.012093141
afghani,2.095903274,0,5.678873587
afghanistan,2.965228236,0,3.736833638
afi,1.742065383,0,7.423983574
afican,5,0,0
aficionado,1.912489289,0,6.455696236
afield,7.5,0,0
afilm,3.321928095,0,3.321928095
afin,0,0,2.5
afirm,0,0,2.5
afix,3.321928095,0,3.321928095
aflac,2.5,0,0
aflam,2.095903274,0,5.678873587
afloat,4.11458208,0.756304196,2.385898532
afoot,2.512941595,0,4.507575552
afor,2.5,0,0
aford,0,0,2.5
aforement,5.128820502,0,2.264241838
aforment,2.095903274,0,5.678873587
afortun,0,0,2.5
afoul,8.00392278,0,1.660964047
afraid,3.287779188,0.351712321,3.342639981
afreen,2.5,0,0
afresh,0,2.5,0
africa,2.683597351,0,4.174014383
african,2.773672096,0.358386309,4.000709098
afrika,5.678873587,0,2.095903274
afrikaa,2.5,0,0
afrikaan,3.321928095,0,3.321928095
afro,2.902793941,0,3.823778062
afroregga,1.912489289,0,6.455696236
aft,0,0,2.5
aftab,8.00392278,0,1.660964047
aften,0,0,2.5
afteral,4.507575552,0,2.512941595
afterglow,0,0,5
afteri,2.5,0,0
afterlif,2.512941595,0,4.507575552
aftermarket,0,0,5
aftermath,7.5,0,0
aftermayb,2.5,0,0
afterread,0,0,2.5
afterschool,10.31885116,0,1.430676558
afterse,2.5,0,0
aftershav,2.095903274,0,5.678873587
aftershock,2.5,0,0
afterth,0,0,5
afterthought,6.145250461,0,1.979610102
afterward,2.491277162,0,4.554626884
afterword,1.660964047,0,8.00392278
afther,0,0,2.5
aftra,0,0,7.5
aftyer,2.5,0,0
aful,2.5,0,0
afwul,2.5,0,0
afzel,5,0,0
ag,2.5,0,0
aga,2.5,0,0
agaaaain,0,0,2.5
agahst,2.5,0,0
again,3.026305815,0.48771015,3.5611284
againi,2.5,0,0
againth,2.5,0,0
againwith,0,0,2.5
agaisnt,0,0,2.5
agaist,2.5,0,0
agamemnon,0,0,5
aganis,5,0,0
agap,3.321928095,0,3.321928095
agar,2.5,0,0
agat,0,0,2.5
agatha,1.660964047,0,8.00392278
agav,0,0,2.5
age,2.802156101,0.492024945,3.863783753
agel,2.5,0,0
ageless,2.095903274,0,5.678873587
agem,2.5,0,0
agenda,4.507575552,0,2.512941595
agent,3.381792593,0.523975819,3.150396013
ageold,0,0,2.5
ager,5,0,0
agey,10.31885116,0,1.430676558
aggamemnon,0,0,2.5
aggeiv,2.5,0,0
agghh,0,0,2.5
aggi,0,0,5
aggiemensgolf,0,2.5,0
aggrand,20,0,0
aggrandis,2.5,0,0
aggrandiz,3.321928095,0,3.321928095
aggrapina,2.5,0,0
aggrav,6.102889742,0.54197662,1.912489289
aggre,2.5,0,0
aggreg,0,0,5
aggres,1.430676558,0,10.31885116
aggress,2.803051325,0.595602059,3.728614403
aggressor,3.321928095,0,3.321928095
aggrev,0,0,2.5
aggriev,12.62925314,0,1.285097209
aggriv,3.321928095,0,3.321928095
agh,5,0,0
aghast,3.620480759,0,3.054750902
aghhhhhh,2.5,0,0
agi,0,0,7.5
agian,2.512941595,0,4.507575552
agil,2.9203673,0,3.798794065
agin,2.095903274,0,5.678873587
agit,4.899079389,0,2.34759015
agito,2.5,0,0
agless,0,0,2.5
agn,2.095903274,0,5.678873587
agnelli,0,0,2.5
agnew,2.5,0,0
agnieszka,0,0,2.5
agniezska,0,0,2.5
agnost,5.678873587,0,2.095903274
ago,2.79510733,0.524016719,3.838497867
agog,3.321928095,0,3.321928095
agoi,3.321928095,0,3.321928095
agon,8.320000423,0.510453737,1.570297268
agoni,5.678873587,0,2.095903274
agonis,3.321928095,0,3.321928095
agood,0,0,5
agoraphob,0,0,5
agost,3.321928095,0,3.321928095
agostina,0,0,2.5
agp,0,0,2.5
agra,0,0,2.5
agrarian,8.00392278,0,1.660964047
agrav,0,0,5
agre,3.478317366,0.437659417,3.128127995
agreat,2.095903274,0,5.678873587
agreeabl,1.628772687,1.265741916,4.429109033
agreewith,0,0,2.5
agren,10,0,0
agress,1.285097209,0,12.62925314
agricultur,3.798794065,0,2.9203673
agrippina,7.5,0,0
